Date,Hour,Offense Type,Beat,Premise,Suffix,# offenses,Address
1/4/15,14,Theft,10H30,Miscellaneous Business (Non-Specific),-,1,2149 COMMERCE ST
1/3/15,0,Theft,10H30,Bar or Night Club Parking Lot,-,1,849 SAINT CHARLES -
1/3/15,1,Theft,10H30,"Road, Street, or Sidewalk",-,1,2149 MCKINNEY ST
1/1/15,9,Robbery,10H30,"Road, Street, or Sidewalk",-,1,2049 SCOTT -
1/1/15,10,Theft,10H30,"Road, Street, or Sidewalk",-,1,2749 LEELAND -
1/1/15,16,Theft,10H30,Commercial Parking Lot or Garage,-,1,2149 COMMERCE ST
1/1/15,16,Theft,10H30,Sexually Oriented Business Parking Lot,-,1,2449 CONGRESS -
1/1/15,17,Theft,10H30,Restaurant or Cafeteria Parking Lot,-,1,2049 COMMERCE ST
1/1/15,19,Aggravated Assault,10H30,Social Services or Public Charities,-,1,449 DOWLING ST
1/5/15,9,Theft,10H30,Bar or Night Club Parking Lot,-,1,849 ST EMANUEL -
1/5/15,21,Robbery,10H30,Commercial Parking Lot or Garage,-,1,1749 BASTROP ST
1/7/15,9,Theft,10H30,"Road, Street, or Sidewalk",-,1,2049 CONGRESS -
1/8/15,23,Theft,10H30,"Road, Street, or Sidewalk",-,1,2349 MCKINNEY ST
1/10/15,22,Theft,10H30,"Road, Street, or Sidewalk",-,1,2149 POLK -
1/10/15,9,Theft,10H30,"Road, Street, or Sidewalk",-,1,3249 LAMAR -
1/10/15,12,Theft,10H30,Restaurant or Cafeteria Parking Lot,-,1,2049 COMMERCE ST
1/9/15,9,Theft,10H30,"Road, Street, or Sidewalk",-,1,1249 PALMER ST
1/11/15,21,Robbery,10H30,Service or Gas Station,-,1,3549 GULF FWY
1/12/15,8,Theft,10H30,Residence or House,-,1,2949 BELL ST
1/13/15,12,Theft,10H30,Apartment,-,1,2249 JEFFERSON ST
1/13/15,18,Rape,10H30,"Vacant Storage Fac (Barn,Garage,Warehouse)",-,1,449 DOWLING ST
1/15/15,2,Robbery,10H30,"Road, Street, or Sidewalk",-,1,3549 GULF FWY
1/18/15,3,Theft,10H30,"Road, Street, or Sidewalk",-,1,2349 LEELAND -
1/17/15,21,Theft,10H30,Park and Ride Terminal,-,1,1349 HUTCHINS -
1/18/15,15,Theft,10H30,Residence or House,-,1,2549 DALLAS ST
1/16/15,16,Theft,10H30,"Road, Street, or Sidewalk",-,1,1749 DELANO -
1/16/15,19,Theft,10H30,"Road, Street, or Sidewalk",-,2,2249 DALLAS ST
1/16/15,20,Theft,10H30,"Road, Street, or Sidewalk",-,1,1249 HUTCHINS -
1/16/15,21,Theft,10H30,"Road, Street, or Sidewalk",-,1,2249 DALLAS ST
1/17/15,7,Robbery,10H30,"Road, Street, or Sidewalk",-,1,1549 SAINT EMANUEL ST
12/31/14,0,Theft,10H40,Apartment Parking Lot,-,1,3949 FANNIN ST
10/18/13,9,Theft,10H40,"Road, Street, or Sidewalk",-,1,3049 CAROLINE ST
12/1/14,18,Theft,10H40,Residence or House,-,1,1749 HOLMAN -
1/31/15,22,Theft,10H40,Commercial Parking Lot or Garage,-,1,3549 MAIN ST
1/30/15,8,Theft,10H40,Grocery Store or Supermarket,-,1,4249 SAN JACINTO -
1/30/15,11,Theft,10H40,Department or Discount Store,-,1,4249 MAIN ST
1/30/15,14,Theft,10H40,"Road, Street, or Sidewalk",-,1,2849 MAIN ST
1/26/15,20,Robbery,10H40,Bus Station,-,1,2249 MAIN ST
1/27/15,15,Theft,10H40,Grocery Store or Supermarket,-,1,4249 SAN JACINTO -
1/27/15,19,Aggravated Assault,10H40,Grocery Store or Supermarket,-,1,4249 SAN JACINTO -
1/27/15,21,Theft,10H40,"Road, Street, or Sidewalk",-,1,2049 MAIN ST
1/28/15,18,Theft,10H40,Restaurant or Cafeteria,-,1,3049 FANNIN ST
1/28/15,1,Theft,10H40,Bus Stop,-,1,1449 MCGOWEN ST
1/29/15,0,Aggravated Assault,10H40,"Road, Street, or Sidewalk",-,1,4649 MAIN ST
1/24/15,13,Theft,10H40,Bar or Night Club,-,1,2449 SAN JACINTO -
1/25/15,13,Theft,10H40,"Other, Unknown, or Not Listed",-,1,2249 CRAWFORD ST
1/25/15,18,Theft,10H40,Grocery Store or Supermarket,-,1,4249 SAN JACINTO -
1/24/15,20,Theft,10H40,Restaurant or Cafeteria Parking Lot,-,1,3449 MILAM -
1/24/15,20,Theft,10H40,"Road, Street, or Sidewalk",-,1,849 BERRY ST
1/23/15,8,Aggravated Assault,10H40,"Road, Street, or Sidewalk",-,1,2049 CRAWFORD ST
1/23/15,2,Theft,10H40,Bar or Night Club Parking Lot,-,1,949 ELGIN ST
1/23/15,11,Robbery,10H40,"Road, Street, or Sidewalk",-,1,3149 SAN JACINTO -
1/23/15,14,Theft,10H40,Bus Station,-,1,2149 MAIN ST
1/9/15,15,Theft,10H40,Grocery Store or Supermarket,-,1,4249 SAN JACINTO -
1/9/15,16,Theft,10H40,"Road, Street, or Sidewalk",-,1,1449 GRAY -
1/10/15,8,Theft,10H40,,-,1,2649 TRAVIS -
1/10/15,14,Theft,10H40,"Road, Street, or Sidewalk",-,1,1149 FRANCIS ST
1/11/15,9,Burglary,10H40,"Road, Street, or Sidewalk",-,1,3549 TRAVIS -
1/11/15,14,Auto Theft,10H40,Residence or House,-,1,1849 DREW ST
1/7/15,18,Theft,10H40,Hospital,-,1,2649 CAROLINE ST
1/7/15,20,Theft,10H40,Grocery Store or Supermarket,-,1,4249 SAN JACINTO -
1/5/15,8,Robbery,10H40,Strip Business Center Parking Lot,-,1,1149 GRAY -
1/5/15,10,Theft,10H40,Residence or House,-,1,1849 ROSALIE -
1/5/15,11,Theft,10H40,Rehabilitation Center,-,1,1249 STUART -
1/6/15,18,Theft,10H40,Other Parking Lot,-,1,4449 FANNIN -
1/6/15,9,Theft,10H40,Grocery Store or Supermarket,-,1,4249 SAN JACINTO -
1/6/15,10,Aggravated Assault,10H40,"Field, Woods, Forest, Park",-,1,1949 GRAY -
1/1/15,14,Aggravated Assault,10H40,Bus Stop,-,1,2149 FANNIN -
1/1/15,14,Theft,10H40,"Road, Street, or Sidewalk",-,1,3149 AUSTIN ST
1/1/15,0,Aggravated Assault,10H40,Residence or House,-,1,1749 HOLMAN -
1/1/15,0,Theft,10H40,Other Parking Lot,-,1,1849 WEBSTER -
1/1/15,3,Aggravated Assault,10H40,"Gym, Recreat, Club House, Indoor Pool, Spa",-,1,3149 FANNIN -
1/3/15,1,Theft,10H40,Bar or Night Club,-,1,1149 MCILHENNY ST
1/3/15,0,Theft,10H40,"Road, Street, or Sidewalk",-,1,849 WINBERN -
1/2/15,23,Theft,10H40,"Road, Street, or Sidewalk",-,1,3649 TRAVIS -
1/2/15,22,Theft,10H40,"Road, Street, or Sidewalk",-,1,2749 JACKSON ST
1/2/15,16,Auto Theft,10H40,Residence or House,-,1,1749 HOLMAN -
1/2/15,18,Theft,10H40,Convenience Store,-,1,1049 ALABAMA ST
1/2/15,9,Theft,10H40,Grocery Store or Supermarket,-,1,4249 SAN JACINTO -
1/2/15,10,Theft,10H40,Bar or Night Club,-,1,2449 SAN JACINTO -
1/2/15,10,Theft,10H40,Driveway,-,1,2949 CRAWFORD ST
1/2/15,12,Burglary,10H40,,-,1,4649 MAIN ST
1/4/15,13,Theft,10H40,Bar or Night Club,-,1,2449 SAN JACINTO -
1/4/15,3,Theft,10H40,Restaurant or Cafeteria Parking Lot,-,1,3449 MILAM -
1/4/15,7,Theft,10H40,,-,1,2449 SAN JACINTO -
1/5/15,5,Burglary,10H40,Bar or Night Club,-,1,3149 SAN JACINTO -
1/4/15,23,Theft,10H40,Bar or Night Club,-,1,2449 SAN JACINTO -
1/4/15,17,Theft,10H40,Department or Discount Store,-,1,4249 MAIN ST
1/4/15,19,Aggravated Assault,10H40,"Road, Street, or Sidewalk",-,1,2149 MAIN ST
1/3/15,17,Theft,10H40,Grocery Store or Supermarket,-,1,4249 SAN JACINTO -
1/3/15,20,Theft,10H40,Grocery Store or Supermarket,-,1,4249 SAN JACINTO -
1/3/15,21,Theft,10H40,"Road, Street, or Sidewalk",-,1,949 BERRY ST
1/17/15,8,Theft,10H40,Convenience Store,-,1,2149 HAMILTON ST
1/16/15,13,Theft,10H40,"Road, Street, or Sidewalk",-,1,1549 ROSALIE -
1/16/15,13,Theft,10H40,"Road, Street, or Sidewalk",-,1,2549 CHENEVERT -
1/16/15,14,Theft,10H40,Grocery Store or Supermarket,-,1,3249 SAN JACINTO -
1/16/15,15,Aggravated Assault,10H40,"Road, Street, or Sidewalk",-,1,2149 SAN JACINTO -
1/16/15,10,Rape,10H40,Vacant Building (Commercial),-,1,1749 GRAY -
1/15/15,17,Theft,10H40,Grocery Store or Supermarket Parking Lot,-,1,1749 ALABAMA ST
1/15/15,17,Theft,10H40,Apartment Parking Lot,-,1,2349 TRAVIS -
1/15/15,13,Rape,10H40,Apartment,-,1,2549 FANNIN ST
1/18/15,17,Aggravated Assault,10H40,"Road, Street, or Sidewalk",-,1,4549 MAIN ST
1/18/15,21,Robbery,10H40,"Road, Street, or Sidewalk",-,1,2949 TRAVIS -
1/18/15,22,Theft,10H40,Strip Business Center Parking Lot,-,1,2149 FANNIN ST
1/18/15,1,Robbery,10H40,Bar or Night Club,-,1,2049 MAIN ST
1/18/15,8,Theft,10H40,"Road, Street, or Sidewalk",-,1,2949 HAMILTON ST
1/18/15,9,Auto Theft,10H40,"Road, Street, or Sidewalk",-,1,2249 MAIN ST
1/17/15,15,Theft,10H40,Bar or Night Club,-,1,2949 FANNIN ST
1/17/15,16,Theft,10H40,"Other, Unknown, or Not Listed",-,1,3649 CHENEVERT -
1/15/15,0,Theft,10H40,"Road, Street, or Sidewalk",-,1,3049 CAROLINE ST
1/15/15,10,Aggravated Assault,10H40,Vacant Building (Commercial),-,1,1049 ELGIN ST
1/14/15,16,Theft,10H40,"Road, Street, or Sidewalk",-,1,2149 MAIN ST
1/13/15,17,Theft,10H40,Light Rail (Metro Rail) Vehicle,-,1,3549 MAIN ST
1/13/15,21,Theft,10H40,Convenience Store,-,1,449 RICHMOND AVE
1/14/15,9,Theft,10H40,Miscellaneous Business (Non-Specific),-,1,749 ELGIN ST
1/13/15,9,Theft,10H40,Bar or Night Club Parking Lot,-,1,1049 MCGOWEN ST
1/12/15,16,Theft,10H40,"Physician, Doctor, Dentist's Office",-,1,3649 SAN JACINTO -
1/11/15,18,Theft,10H40,Grocery Store or Supermarket,-,1,4249 SAN JACINTO -
1/11/15,17,Theft,10H40,Grocery Store or Supermarket,-,1,4249 SAN JACINTO -
1/12/15,15,Aggravated Assault,10H40,"Other, Unknown, or Not Listed",-,1,3849 MAIN ST
1/12/15,9,Theft,10H40,"Road, Street, or Sidewalk",-,1,1149 HADLEY ST
1/20/15,0,Theft,10H40,"Road, Street, or Sidewalk",-,1,1649 HOLMAN -
1/20/15,8,Burglary,10H40,Construction Site,-,1,2249 TRAVIS -
1/20/15,11,Theft,10H40,Restaurant or Cafeteria,-,1,1149 HOLMAN -
1/19/15,19,Theft,10H40,"Road, Street, or Sidewalk",-,1,1549 FRANCIS ST
1/19/15,19,Theft,10H40,Restaurant or Cafeteria Parking Lot,-,1,3449 MILAM -
1/19/15,14,Robbery,10H40,"Road, Street, or Sidewalk",-,1,949 ANITA ST
1/19/15,15,Robbery,10H40,"Road, Street, or Sidewalk",-,1,4549 TRAVIS -
1/20/15,12,Theft,10H40,Bus Stop,-,1,2149 FANNIN ST
1/20/15,18,Aggravated Assault,10H40,Bus Station,-,1,2149 MAIN ST
1/21/15,17,Theft,10H40,Restaurant or Cafeteria Parking Lot,-,1,1149 HOLMAN -
1/21/15,17,Theft,10H40,Sexually Oriented Club,-,1,3149 FANNIN ST
1/21/15,12,Theft,10H40,Light Rail (Metro Rail) Vehicle,-,1,2649 MAIN ST
12/31/14,23,Theft,10H40,Restaurant or Cafeteria,-,1,2649 TRAVIS -
1/22/15,9,Theft,10H50,Miscellaneous Business (Non-Specific),-,1,2149 DOWLING ST
1/22/15,12,Burglary,10H50,Residence or House,-,1,3549 ANITA ST
1/24/15,22,Robbery,10H50,"Multi-Plex Home (Duplex,Triplex Etc.)",-,1,3449 DENNIS ST
1/24/15,22,Burglary,10H50,Apartment,-,1,3749 BURKETT ST
1/23/15,20,Aggravated Assault,10H50,"Road, Street, or Sidewalk",-,1,3249 SIMMONS -
1/24/15,9,Burglary,10H50,Residence or House,-,1,3749 DENNIS ST
1/24/15,12,Auto Theft,10H50,Auto Repair,-,1,2649 PIERCE -
1/24/15,14,Aggravated Assault,10H50,"Road, Street, or Sidewalk",-,2,3849 DREW ST
1/29/15,9,Theft,10H50,Residence or House,-,1,3049 MCILHENNY ST
1/27/15,23,Aggravated Assault,10H50,Residence or House,-,1,3249 DELANO -
1/27/15,21,Aggravated Assault,10H50,Residence or House,-,1,2649 LUCINDA -
1/28/15,18,Aggravated Assault,10H50,"Road, Street, or Sidewalk",-,2,3049 FRANCIS ST
1/26/15,1,Robbery,10H50,Strip Business Center Parking Lot,-,1,3449 ELGIN ST
1/26/15,10,Burglary,10H50,Liquor Store,-,1,2649 MCGOWEN ST
1/27/15,20,Theft,10H50,Commercial Parking Lot or Garage,-,1,5549 HIGHWAY 6 -
1/27/15,16,Robbery,10H50,"Road, Street, or Sidewalk",-,1,3349 NAPOLEON -
1/27/15,12,Burglary,10H50,"Vacant Single Occ Resd(House,Townhs,Dplex)",-,1,3349 HOLMAN -
1/26/15,19,Theft,10H50,University or College,-,1,3349 FRANCIS ST
1/31/15,14,Auto Theft,10H50,Driveway,-,1,2849 MILBY -
12/31/14,0,Burglary,10H50,Residence or House,-,1,3449 HADLEY ST
12/31/14,10,Theft,10H50,"Road, Street, or Sidewalk",-,1,2449 HUTCHINS -
1/4/15,0,Robbery,10H50,Service or Gas Station,-,1,3549 ELGIN ST
1/4/15,1,Burglary,10H50,Residence or House,-,1,2149 ELGIN ST
1/3/15,5,Theft,10H50,Apartment,-,1,3249 TRUXILLO -
1/3/15,11,Theft,10H50,Residence or House,-,1,3249 HOLMAN -
1/4/15,8,Auto Theft,10H50,Apartment Parking Lot,-,2,3449 DREW ST
1/2/15,10,Auto Theft,10H50,Commercial Parking Lot or Garage,-,1,3149 SCOTT -
1/2/15,11,Theft,10H50,Construction Site,-,1,3549 BASTROP ST
1/1/15,10,Burglary,10H50,Residence or House,-,1,3749 BURKETT ST
1/6/15,17,Burglary,10H50,Residence or House,-,1,3249 TUAM -
1/7/15,7,Burglary,10H50,Residence or House,-,1,3249 ANITA ST
1/5/15,10,Auto Theft,10H50,Apartment Parking Lot,-,1,3249 ALABAMA ST
1/7/15,17,Auto Theft,10H50,"Road, Street, or Sidewalk",-,1,2549 NETTLETON -
1/8/15,20,Theft,10H50,"Road, Street, or Sidewalk",-,1,4049 ANITA ST
1/8/15,16,Aggravated Assault,10H50,Apartment,-,1,3849 BRILEY ST
1/8/15,18,Burglary,10H50,"Multi-Plex Home (Duplex,Triplex Etc.)",-,1,3249 ST EMANUEL -
1/8/15,19,Burglary,10H50,Residence or House,-,1,3849 ANITA ST
1/8/15,14,Theft,10H50,"Road, Street, or Sidewalk",-,1,2849 HADLEY ST
1/8/15,11,Robbery,10H50,"Road, Street, or Sidewalk",-,1,3249 REEVES -
1/8/15,11,Theft,10H50,"Road, Street, or Sidewalk",-,1,2349 SCOTT -
1/10/15,19,Theft,10H50,Apartment,-,1,4749 CALHOUN RD
1/11/15,6,Burglary,10H50,Convenience Store,-,1,3249 MCGOWEN ST
1/10/15,1,Burglary,10H50,Residence or House,-,1,3449 ELGIN ST
1/9/15,18,Robbery,10H50,Convenience Store,-,1,3349 WINBERN -
1/9/15,16,Aggravated Assault,10H50,"Road, Street, or Sidewalk",-,1,3449 SCOTT -
1/9/15,10,Burglary,10H50,"Church, Synagogue, or Temple",-,1,3849 WHEELER -
1/9/15,12,Aggravated Assault,10H50,"Road, Street, or Sidewalk",-,4,3749 ALABAMA ST
1/21/15,14,Robbery,10H50,"Road, Street, or Sidewalk",-,1,3349 MCGOWEN ST
1/20/15,15,Theft,10H50,University or College,-,1,4749 CALHOUN RD
1/20/15,23,Aggravated Assault,10H50,"Road, Street, or Sidewalk",-,2,3549 DREW ST
1/21/15,9,Theft,10H50,Bar or Night Club,-,1,2649 SCOTT ST
1/19/15,19,Robbery,10H50,Residence or House,-,1,3049 CLEBURNE ST
1/20/15,2,Burglary,10H50,Residence or House,-,1,2849 LUCINDA -
1/12/15,0,Robbery,10H50,Restaurant or Cafeteria Parking Lot,-,1,3749 SCOTT -
1/12/15,19,Aggravated Assault,10H50,"Road, Street, or Sidewalk",-,2,3849 BURKETT ST
1/13/15,16,Auto Theft,10H50,Apartment,-,1,2949 NAGLE -
1/14/15,19,Theft,10H50,,-,1,2249 ALABAMA ST
1/14/15,21,Robbery,10H50,Restaurant or Cafeteria Parking Lot,-,1,4049 ELGIN ST
1/15/15,1,Auto Theft,10H50,"Road, Street, or Sidewalk",-,1,3049 MCGOWEN ST
1/15/15,3,Burglary,10H50,Convenience Store,-,1,2049 DOWLING ST
1/17/15,17,Theft,10H50,Apartment,-,1,3249 TRUXILLO -
1/18/15,12,Theft,10H50,Restaurant or Cafeteria,-,1,4049 ELGIN ST
1/15/15,14,Theft,10H50,"Road, Street, or Sidewalk",-,1,2349 BASTROP ST
1/15/15,22,Theft,10H50,Bar or Night Club Parking Lot,-,1,3749 DOWLING ST
1/16/15,17,Theft,10H50,Residence or House,-,1,2849 NETTLETON -
1/16/15,17,Theft,10H50,Residence or House,-,1,3249 MCILHENNY ST
1/16/15,21,Aggravated Assault,10H50,Convenience Store Parking Lot,-,2,3349 DOWLING ST
12/31/14,9,Auto Theft,10H60,Laundry or Dry Cleaners Parking Lot,-,1,5949 SCOTT -
12/31/14,0,Theft,10H60,"Church, Synagogue, or Temple Parking Lot",N,1,3049 MACGREGOR WAY
12/31/14,2,Theft,10H60,Driveway,-,1,4349 DOWLING ST
1/31/15,14,Auto Theft,10H60,Residence or House,N,1,3649 MACGREGOR WAY
11/25/14,13,Aggravated Assault,10H60,Residence or House,-,1,3849 WENTWORTH -
11/25/14,16,Burglary,10H60,,-,1,3349 PARKWOOD DR
1/31/15,2,Theft,10H60,,-,1,6649 BOWLING GREEN ST
1/27/15,7,Theft,10H60,Apartment Parking Lot,-,1,2649 CALUMET ST
1/27/15,9,Theft,10H60,Apartment Parking Lot,-,1,3649 SOUTHMORE BLVD
1/27/15,19,Burglary,10H60,Apartment,-,1,6449 DEL RIO ST
1/28/15,21,Theft,10H60,Service or Gas Station,-,1,4349 OLD SPANISH TRL
1/28/15,7,Theft,10H60,Apartment Parking Lot,-,1,5449 ENNIS ST
1/28/15,7,Theft,10H60,Apartment Parking Lot,-,1,6449 DEL RIO ST
1/28/15,8,Theft,10H60,Driveway,-,1,3449 ARBOR ST
1/29/15,11,Theft,10H60,Vacant Other Out Build/Monument/UnderConst,-,1,3749 GRIGGS -
1/29/15,11,Burglary,10H60,"Vacant Single Occ Resd(House,Townhs,Dplex)",N,1,4449 ROSENEATH DR
1/29/15,12,Burglary,10H60,"Multi-Plex Home (Duplex,Triplex Etc.)",-,1,2549 PROSPECT -
1/29/15,1,Robbery,10H60,Apartment Parking Lot,-,1,6449 DEL RIO ST
1/24/15,10,Aggravated Assault,10H60,"Multi-Plex Home (Duplex,Triplex Etc.)",-,1,2649 ARBOR ST
1/23/15,19,Theft,10H60,Vehicle/Auto Sales/Lease/Auto Parts Store,-,1,3849 OLD SPANISH TRL
1/25/15,14,Theft,10H60,Apartment,-,1,6449 DEL RIO ST
1/25/15,16,Robbery,10H60,"Road, Street, or Sidewalk",S,1,4449 MACGREGOR WAY
1/25/15,2,Aggravated Assault,10H60,"Road, Street, or Sidewalk",-,1,5449 SCOTT ST
1/25/15,5,Theft,10H60,"Road, Street, or Sidewalk",-,1,3749 SOUTHMORE BLVD
1/21/15,23,Theft,10H60,"Road, Street, or Sidewalk",-,1,2449 CALUMET ST
1/23/15,13,Theft,10H60,"Road, Street, or Sidewalk",-,1,5149 CALHOUN RD
1/23/15,16,Theft,10H60,Bar or Night Club Parking Lot,-,1,4149 OLD SPANISH TRL
1/22/15,22,Aggravated Assault,10H60,Apartment,-,1,2449 SOUTHMORE BLVD
1/10/15,8,Theft,10H60,Apartment Parking Lot,-,1,4049 GRIGGS -
1/11/15,8,Auto Theft,10H60,Residence or House,-,1,2249 WENTWORTH -
1/10/15,13,Theft,10H60,Driveway,-,1,3249 OAKDALE -
1/11/15,10,Theft,10H60,Apartment Parking Lot,-,1,5549 SAMPSON -
1/5/15,11,Robbery,10H60,Check Cashing Places,-,1,2549 SOUTHMORE BLVD
1/6/15,19,Aggravated Assault,10H60,Residence or House,-,1,2549 BINZ ST
1/6/15,13,Aggravated Assault,10H60,Highway or Freeway,-,1,2249 ROSEWOOD -
1/6/15,10,Theft,10H60,Residence or House,-,1,4149 ROSENEATH DR
1/1/15,12,Theft,10H60,Bar or Night Club Parking Lot,-,1,3349 RALEIGH -
